City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,pevek,69.7008,170.3133,-20.18,89,{'all': 8},2.66,RU,1681728369
265,srivardhan,18.0333,73.0167,31.13,55,{'all': 2},7.7,IN,1681728371
266,kyzyl-suu,42.3414,78.0056,11.15,61,{'all': 100},2.17,KG,1681728192
267,geraldton,-28.7667,114.6,21.23,73,{'all': 100},7.2,AU,1681728342
268,tarrafal,15.2833,-23.7667,26.44,83,{'all': 58},7.74,CV,1681728373
269,okhotsk,59.3833,143.3,-5.88,89,{'all': 53},2.02,RU,1681728373
270,saint-philippe,-21.3585,55.7679,30.77,80,{'all': 60},4.02,RE,1681728374
271,dubbo,-32.25,148.6167,16.07,51,{'all': 0},5.14,AU,1681728147
272,sal rei,16.1833,-22.9167,24.11,78,{'all': 75},9.77,CV,1681728375
273,manavalakurichi,8.1333,77.3,30.45,66,{'all': 16},3.24,IN,1681728375
274,annau,37.8876,58.516,14.72,31,{'all': 40},2.06,TM,1681728376
275,port hedland,-20.3167,118.5667,26.03,50,{'all': 0},2.57,AU,1681728363
276,gimli,50.6336,-96.9907,-1.99,64,{'all': 6},5.14,CA,1681728377
277,normandin,48.8333,-72.5321,0.17,93,{'all': 93},1.54,CA,1681728377
278,salta,-24.7859,-65.4117,14.21,90,{'all': 75},0.51,AR,1681728378
279,ust-nera,64.5667,143.2,-7.58,97,{'all': 100},0.51,RU,1681728379
280,bridgewater,44.3835,-64.5155,6.17,99,{'all': 100},0.45,CA,1681728379
281,huatusco,19.15,-96.95,15.62,82,{'all': 97},1.39,MX,1681728380
282,nobeoka,32.5833,131.6667,13.21,79,{'all': 42},1.06,JP,1681728380
283,astana,51.1801,71.446,0.97,37,{'all': 40},5.0,KZ,1681728381
284,padang,-0.9492,100.3543,30.03,81,{'all': 53},1.25,ID,1681728181
285,vao,-22.6667,167.4833,26.1,87,{'all': 100},5.77,NC,1681728382
286,rawson,-43.3002,-65.1023,9.01,59,{'all': 65},7.72,AR,1681728382
287,lulea,65.5842,22.1547,7.04,61,{'all': 0},5.66,SE,1681728383
288,ejutla de crespo,16.5667,-96.7333,18.39,66,{'all': 84},1.83,MX,1681728384
289,atambua,-9.1061,124.8925,23.77,90,{'all': 100},1.48,ID,1681728384
290,shalinskoye,55.7228,93.7594,2.3,50,{'all': 100},4.73,RU,1681728385
291,lorengau,-2.0226,147.2712,27.11,81,{'all': 100},2.94,PG,1681728385
292,amarante,-6.2411,-42.8547,26.84,77,{'all': 99},0.37,BR,1681728386
293,cockburn town,21.4612,-71.1419,24.98,73,{'all': 40},2.57,TC,1681728386
294,mabaruma,8.2,-59.7833,24.8,81,{'all': 43},0.54,GY,1681728387
295,mahebourg,-20.4081,57.7,27.92,88,{'all': 40},1.03,MU,1681728387
296,bonthe,7.5264,-12.505,31.22,64,{'all': 95},1.05,SL,1681728388
297,markivka,49.5229,39.5705,13.82,33,{'all': 100},6.78,UA,1681728388
